name	type	units	sampling_frequency	status
Fp1	EEG	uV	1024	good
AF7	EEG	uV	1024	bad
AF3	EEG	uV	1024	bad
F1	EEG	uV	1024	good
F3	EEG	uV	1024	good
F5	EEG	uV	1024	bad
F7	EEG	uV	1024	bad
FT7	EEG	uV	1024	bad
FC5	EEG	uV	1024	bad
FC3	EEG	uV	1024	good
FC1	EEG	uV	1024	good
C1	EEG	uV	1024	good
C3	EEG	uV	1024	good
C5	EEG	uV	1024	good
T7	EEG	uV	1024	bad
TP7	EEG	uV	1024	bad
CP5	EEG	uV	1024	bad
CP3	EEG	uV	1024	bad
CP1	EEG	uV	1024	bad
P1	EEG	uV	1024	bad
P3	EEG	uV	1024	bad
P5	EEG	uV	1024	bad
P7	EEG	uV	1024	bad
P9	EEG	uV	1024	bad
PO7	EEG	uV	1024	bad
PO3	EEG	uV	1024	bad
O1	EEG	uV	1024	bad
Iz	EEG	uV	1024	bad
Oz	EEG	uV	1024	bad
POz	EEG	uV	1024	bad
Pz	EEG	uV	1024	bad
CPz	EEG	uV	1024	good
Fpz	EEG	uV	1024	good
Fp2	EEG	uV	1024	good
AF8	EEG	uV	1024	good
AF4	EEG	uV	1024	good
AFz	EEG	uV	1024	good
Fz	EEG	uV	1024	good
F2	EEG	uV	1024	good
F4	EEG	uV	1024	bad
F6	EEG	uV	1024	bad
F8	EEG	uV	1024	bad
FT8	EEG	uV	1024	bad
FC6	EEG	uV	1024	good
FC4	EEG	uV	1024	good
FC2	EEG	uV	1024	good
FCz	EEG	uV	1024	good
Cz	EEG	uV	1024	good
C2	EEG	uV	1024	bad
C4	EEG	uV	1024	good
C6	EEG	uV	1024	good
T8	EEG	uV	1024	good
TP8	EEG	uV	1024	good
CP6	EEG	uV	1024	good
CP4	EEG	uV	1024	good
CP2	EEG	uV	1024	bad
P2	EEG	uV	1024	bad
P4	EEG	uV	1024	bad
P6	EEG	uV	1024	bad
P8	EEG	uV	1024	bad
P10	EEG	uV	1024	bad
PO8	EEG	uV	1024	good
PO4	EEG	uV	1024	bad
O2	EEG	uV	1024	bad
